INSERT INTO Staff VALUES ('S0001', 'Sowmya', 'Pujari', '1065', 'Polling Agent', '1000', 'B1C001');
INSERT INTO Staff VALUES ('S0002', 'Aashish', 'Andrade', '1156', 'Security Agent', '750', 'B2C001');
INSERT INTO Staff VALUES ('S0003', 'Ramya', 'Sheikh', '2447', 'Polling Agent', '1000', 'B3C001');
INSERT INTO Staff VALUES ('S0004', 'Deepak', 'Kamath', '2515', 'Security Agent', '750', 'B4C001');
INSERT INTO Staff VALUES ('S0005', 'Kavya', 'Chatterjee', '3040', 'Polling Agent', '1000', 'B5C001');
INSERT INTO Staff VALUES ('S0006', 'Ranveer', 'Tipparti', '3252', 'Security Agent', '750', 'B1C001');
INSERT INTO Staff VALUES ('S0007', 'Viraj', 'Salian', '3594', 'Polling Agent', '1000', 'B2C001');
INSERT INTO Staff VALUES ('S0008', 'Vivek', 'Belligatti', '3957', 'Security Agent', '750', 'B3C001');
INSERT INTO Staff VALUES ('S0009', 'Shubhangi', 'Nagane', '4084', 'Polling Agent', '1000', 'B4C001');
INSERT INTO Staff VALUES ('S0010', 'Ronith', 'Saldanha', '4132', 'Security Agent', '750', 'B5C001');
INSERT INTO Staff VALUES ('S0011', 'Mayra', 'Shet', '1212', 'Polling Agent', '1000', 'B1C002');
INSERT INTO Staff VALUES ('S0012', 'Yuvraj', 'Gugale', '1213', 'Security Agent', '750', 'B2C002');
INSERT INTO Staff VALUES ('S0013', 'Aloke', 'Suvarna', '1552', 'Polling Agent', '1000', 'B3C002');
INSERT INTO Staff VALUES ('S0014', 'Jayanth', 'Dhamdhame', '1730', 'Security Agent', '750', 'B4C002');
INSERT INTO Staff VALUES ('S0015', 'Atharv', 'Naik', '1739', 'Polling Agent', '1000', 'B5C002');
INSERT INTO Staff VALUES ('S0016', 'Reshma', 'Holla', '1876', 'Security Agent', '750', 'B1C002');
INSERT INTO Staff VALUES ('S0017', 'Lavanya', 'Bhat', '3118', 'Polling Agent', '1000', 'B2C002');
INSERT INTO Staff VALUES ('S0018', 'Sadhil', 'Patil', '3223', 'Security Agent', '750', 'B3C002');
INSERT INTO Staff VALUES ('S0019', 'Samesh', 'Kumar', '3234', 'Polling Agent', '1000', 'B4C002');
INSERT INTO Staff VALUES ('S0020', 'Abhijith', 'Kumar', '3958', 'Security Agent', '750', 'B5C002');
INSERT INTO Staff VALUES ('S0021', 'Tanmay', 'Nayak', '1003', 'Polling Agent', '1000', 'B1C003');
INSERT INTO Staff VALUES ('S0022', 'Lakshit', 'Gamskar', '1501', 'Security Agent', '750', 'B2C003');
INSERT INTO Staff VALUES ('S0023', 'Ira', 'Kamath', '1526', 'Polling Agent', '1000', 'B3C003');
INSERT INTO Staff VALUES ('S0024', 'Amol', 'Shetty', '1693', 'Security Agent', '750', 'B4C003');
INSERT INTO Staff VALUES ('S0025', 'Nimit', 'Banerjee', '1930', 'Polling Agent', '1000', 'B5C003');
INSERT INTO Staff VALUES ('S0026', 'Anjali', 'Moolya', '1934', 'Security Agent', '750', 'B1C003');
INSERT INTO Staff VALUES ('S0027', 'Hithakshi', 'Bhat', '2131', 'Polling Agent', '1000', 'B2C003');
INSERT INTO Staff VALUES ('S0028', 'Kabir', 'Bhardwaj', '2196', 'Security Agent', '750', 'B3C003');
